15-09-03-11:46:19,Joe,Glob,123,00:00:05,
15-09-03-11:46:30,Joe,Glob,123,02:00:07,
15-09-03-12:01:47,Joe,Glob,123,00:00:08,
15-09-03-12:06:16,Joe,Glob,123,00:00:27,
15-09-03-12:06:53,Joe,Glob,123,00:01:13,
15-09-03-12:58:41,Joe,Glob,123,00:00:10,
15-09-03-12:59:40,Joe,Glob,123,03:00:04,
15-09-03-13:02:50,Joe,Glob,123,00:02:35,
15-09-03-13:05:31,Joe,Glob,123,00:00:16,
15-09-03-13:05:59,Joe,Glob,123,00:00:03,
15-09-03-13:06:07,Joe,Glob,123,00:00:14,
15-09-03-13:06:26,Joe,Glob,123,00:00:09,
15-09-03-13:06:41,Joe,Glob,123,00:00:07,
15-09-03-13:16:39,Joe,Glob,123,00:00:17,
15-09-03-13:18:56,Joe,Glob,123,00:00:39,
15-09-03-15:47:46,Joe,Glob,123,00:00:12,
15-09-03-15:55:04,Joe,Glob,123,00:00:22,
15-09-03-15:56:26,Joe1,works,333,00:00:16,
15-09-03-15:56:49,Joe1,works,333,02:00:01,
15-09-03-15:57:33,Joe,Glob,123,00:00:02,
15-09-03-15:57:42,Joe1,works,333,00:00:05,
